source,sourceScore,hr,ro,zh,ca,vi,tr,no,nn,hu,lv,te,hi,lt,ga,th,bn,id,de,fi,ta,bg,ka,sv,fr,hy,sl,sk,uk,da,eu,az,it,sr,ms,ko,fa,ar,he,cs,gl,el,pt,pl,en,ru,et,es,ja,nl,
lo,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
jv,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
tl,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
ht,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
tg,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
ny,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
bs,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
uz,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
ig,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
zu,1,251232.0,1053857.0,2680339.0,901741.0,1529056.0,723192.0,822868.0,258019.0,683220.0,197083.0,123451.0,179131.0,311098.0,50484.0,327294.0,262711.0,802043.0,3653951.0,728937.0,146032.0,377182.0,195137.0,3637679.0,3740554.0,510421.0,285550.0,353298.0,1265197.0,419200.0,514644.0,201161.0,2474271.0,936218.0,389891.0,795213.0,2275129.0,1102135.0,505034.0,663903.0,257172.0,226740.0,1987508.0,1754291.0,1.5E7,3395378.0,273035.0,3165178.0,1970771.0,2655623.0,
